"","tourney_name","tourney_id","name","link","display"
"29","2023 U22 COOT Mirror",8355,"Combined (1-10)","https://hsquizbowl.org/db/tournaments/8355/stats/combined_%281-10%29/individuals","2023 U22 COOT Mirror <8355> - Combined (1-10)"
"30","Virginia Tech Mirror of MOQBA Novice II",8354,"All Games","https://hsquizbowl.org/db/tournaments/8354/stats/all_games/individuals","Virginia Tech Mirror of MOQBA Novice II <8354> - All Games"
"31","NAQT Collegiate Novice (University of Toronto Mirror)",8346,"Prelims","https://hsquizbowl.org/db/tournaments/8346/stats/prelims/individuals","NAQT Collegiate Novice (University of Toronto Mirror) <8346> - Prelims"
"32","Minnesota Collegiate Novice Invitational",8342,"Combined","https://hsquizbowl.org/db/tournaments/8342/stats/combined/individuals","Minnesota Collegiate Novice Invitational <8342> - Combined"
"33","Questions Based on Wikipedia links Ophir Sent Me Online Mirror",8332,"Prelims","https://hsquizbowl.org/db/tournaments/8332/stats/prelims/individuals","Questions Based on Wikipedia links Ophir Sent Me Online Mirror <8332> - Prelims"
"34","Questions Based on Wikipedia links Ophir Sent Me Online Mirror",8332,"Playoffs","https://hsquizbowl.org/db/tournaments/8332/stats/playoffs/individuals","Questions Based on Wikipedia links Ophir Sent Me Online Mirror <8332> - Playoffs"
"35","Questions Based on Wikipedia links Ophir Sent Me Online Mirror",8332,"Combined","https://hsquizbowl.org/db/tournaments/8332/stats/combined/individuals","Questions Based on Wikipedia links Ophir Sent Me Online Mirror <8332> - Combined"
"36","NAQT Collegiate Novice at RIT",8331,"All Games","https://hsquizbowl.org/db/tournaments/8331/stats/all_games/individuals","NAQT Collegiate Novice at RIT <8331> - All Games"
"37","Yukon H.S. ACRONYM 16 Mirror",8330,"Round Robin - All Games","https://hsquizbowl.org/db/tournaments/8330/stats/round_robin_-_all_games/individuals","Yukon H.S. ACRONYM 16 Mirror <8330> - Round Robin - All Games"
"38","IQBT UG Champs Open Mirror, Part Two",8326,"Prelim RR","https://hsquizbowl.org/db/tournaments/8326/stats/prelim_rr/individuals","IQBT UG Champs Open Mirror, Part Two <8326> - Prelim RR"
"39","IQBT UG Champs Open Mirror, Part Two",8326,"Playoffs","https://hsquizbowl.org/db/tournaments/8326/stats/playoffs/individuals","IQBT UG Champs Open Mirror, Part Two <8326> - Playoffs"
"40","IQBT UG Champs Open Mirror, Part Two",8326,"Combined","https://hsquizbowl.org/db/tournaments/8326/stats/combined/individuals","IQBT UG Champs Open Mirror, Part Two <8326> - Combined"
"41","2023 UCF Trash Open",8325,"End of Round 3","https://hsquizbowl.org/db/tournaments/8325/stats/end_of_round_3/individuals","2023 UCF Trash Open <8325> - End of Round 3"
"42","2023 UCF Trash Open",8325,"Prelims (through Round 6)","https://hsquizbowl.org/db/tournaments/8325/stats/prelims_%28through_round_6%29/individuals","2023 UCF Trash Open <8325> - Prelims (through Round 6)"
"43","2023 Seattle Open",8323,"All Games","https://hsquizbowl.org/db/tournaments/8323/stats/all_games/individuals","2023 Seattle Open <8323> - All Games"
"44","Centennial Invitational 221A set 10/1/23",8306,"Tournament Morning Stats","https://hsquizbowl.org/db/tournaments/8306/stats/tournament_morning_stats/individuals","Centennial Invitational 221A set 10/1/23 <8306> - Tournament Morning Stats"
"45","Centennial Invitational 221A set 10/1/23",8306,"Standard Morning Stats","https://hsquizbowl.org/db/tournaments/8306/stats/standard_morning_stats/individuals","Centennial Invitational 221A set 10/1/23 <8306> - Standard Morning Stats"
"31000","Centennial Invitational 221A set 10/1/23",8306,"Tournament Afternoon Stats","https://hsquizbowl.org/db/tournaments/8306/stats/tournament_afternoon_stats/individuals","Centennial Invitational 221A set 10/1/23 <8306> - Tournament Afternoon Stats"
"41000","Centennial Invitational 221A set 10/1/23",8306,"Standard Afternoon Stats","https://hsquizbowl.org/db/tournaments/8306/stats/standard_afternoon_stats/individuals","Centennial Invitational 221A set 10/1/23 <8306> - Standard Afternoon Stats"
"51000","Centennial Invitational 221A set 10/1/23",8306,"Tournament Rounds 1-10 Stats","https://hsquizbowl.org/db/tournaments/8306/stats/tournament_rounds_1-10_stats/individuals","Centennial Invitational 221A set 10/1/23 <8306> - Tournament Rounds 1-10 Stats"
"61000","Centennial Invitational 221A set 10/1/23",8306,"Standard Round 1-10 Stats","https://hsquizbowl.org/db/tournaments/8306/stats/standard_round_1-10_stats/individuals","Centennial Invitational 221A set 10/1/23 <8306> - Standard Round 1-10 Stats"
"46","Bishop Ludden Invitational    NAQT   IS-222",8304,"Prelims (Rounds 1-9)","https://hsquizbowl.org/db/tournaments/8304/stats/prelims_%28rounds_1-9%29/individuals","Bishop Ludden Invitational    NAQT   IS-222 <8304> - Prelims (Rounds 1-9)"
"47","Bishop Ludden Invitational    NAQT   IS-222",8304,"Ranked Matches","https://hsquizbowl.org/db/tournaments/8304/stats/ranked_matches/individuals","Bishop Ludden Invitational    NAQT   IS-222 <8304> - Ranked Matches"
"48","Bishop Ludden Invitational    NAQT   IS-222",8304,"Combined (Round 1-10)","https://hsquizbowl.org/db/tournaments/8304/stats/combined_%28round_1-10%29/individuals","Bishop Ludden Invitational    NAQT   IS-222 <8304> - Combined (Round 1-10)"
"49","Columbian Xposition 2023",8302,"Prelims","https://hsquizbowl.org/db/tournaments/8302/stats/prelims/individuals","Columbian Xposition 2023 <8302> - Prelims"
"50","Columbian Xposition 2023",8302,"Playoffs","https://hsquizbowl.org/db/tournaments/8302/stats/playoffs/individuals","Columbian Xposition 2023 <8302> - Playoffs"
"51","UWO Online COOT (2023) Mirror",8301,"Pre-lunch stats update","https://hsquizbowl.org/db/tournaments/8301/stats/pre-lunch_stats_update/individuals","UWO Online COOT (2023) Mirror <8301> - Pre-lunch stats update"
"52","UWO Online COOT (2023) Mirror",8301,"Overall Stats","https://hsquizbowl.org/db/tournaments/8301/stats/overall_stats/individuals","UWO Online COOT (2023) Mirror <8301> - Overall Stats"
"53","Questions Based on Wikipedia Links Ophir Sent Me @ Minnesota",8300,"Double Round Robin","https://hsquizbowl.org/db/tournaments/8300/stats/double_round_robin/individuals","Questions Based on Wikipedia Links Ophir Sent Me @ Minnesota <8300> - Double Round Robin"
"54","2023 Midwest CREEK+ Mirror at the University of Missouri",8297,"Prelims","https://hsquizbowl.org/db/tournaments/8297/stats/prelims/individuals","2023 Midwest CREEK+ Mirror at the University of Missouri <8297> - Prelims"
"55","2023 Midwest CREEK+ Mirror at the University of Missouri",8297,"Playoffs (Upper Bracket)","https://hsquizbowl.org/db/tournaments/8297/stats/playoffs_%28upper_bracket%29/individuals","2023 Midwest CREEK+ Mirror at the University of Missouri <8297> - Playoffs (Upper Bracket)"
"56","2023 Midwest CREEK+ Mirror at the University of Missouri",8297,"Playoffs (Lower Bracket)","https://hsquizbowl.org/db/tournaments/8297/stats/playoffs_%28lower_bracket%29/individuals","2023 Midwest CREEK+ Mirror at the University of Missouri <8297> - Playoffs (Lower Bracket)"
"57","2023 Midwest CREEK+ Mirror at the University of Missouri",8297,"Combined","https://hsquizbowl.org/db/tournaments/8297/stats/combined/individuals","2023 Midwest CREEK+ Mirror at the University of Missouri <8297> - Combined"
"58","Johns Hopkins Novice Invitational",8294,"Prelims","https://hsquizbowl.org/db/tournaments/8294/stats/prelims/individuals","Johns Hopkins Novice Invitational <8294> - Prelims"
"59","Johns Hopkins Novice Invitational",8294,"Playoffs","https://hsquizbowl.org/db/tournaments/8294/stats/playoffs/individuals","Johns Hopkins Novice Invitational <8294> - Playoffs"
"60","Johns Hopkins Novice Invitational",8294,"Combined","https://hsquizbowl.org/db/tournaments/8294/stats/combined/individuals","Johns Hopkins Novice Invitational <8294> - Combined"
"61","Super ACRONYM 4 Premiere",8291,"Prelims","https://hsquizbowl.org/db/tournaments/8291/stats/prelims/individuals","Super ACRONYM 4 Premiere <8291> - Prelims"
"62","Super ACRONYM 4 Premiere",8291,"Combined","https://hsquizbowl.org/db/tournaments/8291/stats/combined/individuals","Super ACRONYM 4 Premiere <8291> - Combined"
"63","2023 COOT @ UMN",8290,"Round Robin","https://hsquizbowl.org/db/tournaments/8290/stats/round_robin/individuals","2023 COOT @ UMN <8290> - Round Robin"
"64","Princeton High School Academic Tournament XXX (PHSAT XXX)",8289,"Prelims","https://hsquizbowl.org/db/tournaments/8289/stats/prelims/individuals","Princeton High School Academic Tournament XXX (PHSAT XXX) <8289> - Prelims"
"65","Princeton High School Academic Tournament XXX (PHSAT XXX)",8289,"Playoffs","https://hsquizbowl.org/db/tournaments/8289/stats/playoffs/individuals","Princeton High School Academic Tournament XXX (PHSAT XXX) <8289> - Playoffs"
"66","Princeton High School Academic Tournament XXX (PHSAT XXX)",8289,"Combined (Rounds 1-11)","https://hsquizbowl.org/db/tournaments/8289/stats/combined_%28rounds_1-11%29/individuals","Princeton High School Academic Tournament XXX (PHSAT XXX) <8289> - Combined (Rounds 1-11)"
"67","Southern Illinois University-Edwardsville NAQT Collegiate Novice",8285,"Prelims","https://hsquizbowl.org/db/tournaments/8285/stats/prelims/individuals","Southern Illinois University-Edwardsville NAQT Collegiate Novice <8285> - Prelims"
"68","Southern Illinois University-Edwardsville NAQT Collegiate Novice",8285,"Playoffs","https://hsquizbowl.org/db/tournaments/8285/stats/playoffs/individuals","Southern Illinois University-Edwardsville NAQT Collegiate Novice <8285> - Playoffs"
"69","Southern Illinois University-Edwardsville NAQT Collegiate Novice",8285,"Finals","https://hsquizbowl.org/db/tournaments/8285/stats/finals/individuals","Southern Illinois University-Edwardsville NAQT Collegiate Novice <8285> - Finals"
"70","Southern Illinois University-Edwardsville NAQT Collegiate Novice",8285,"Combined","https://hsquizbowl.org/db/tournaments/8285/stats/combined/individuals","Southern Illinois University-Edwardsville NAQT Collegiate Novice <8285> - Combined"
"71","University of Ottawa NAQT Collegiate Novice",8283,"Rounds 1-5","https://hsquizbowl.org/db/tournaments/8283/stats/rounds_1-5/individuals","University of Ottawa NAQT Collegiate Novice <8283> - Rounds 1-5"
"72","University of Ottawa NAQT Collegiate Novice",8283,"Prelims","https://hsquizbowl.org/db/tournaments/8283/stats/prelims/individuals","University of Ottawa NAQT Collegiate Novice <8283> - Prelims"
"73","2023 Toronto Cup",8276,"All Games","https://hsquizbowl.org/db/tournaments/8276/stats/all_games/individuals","2023 Toronto Cup <8276> - All Games"
"74","CLEAN Online Mirror",8275,"All Games","https://hsquizbowl.org/db/tournaments/8275/stats/all_games/individuals","CLEAN Online Mirror <8275> - All Games"
"75","Baseball Online",8274,"All Games","https://hsquizbowl.org/db/tournaments/8274/stats/all_games/individuals","Baseball Online <8274> - All Games"
"76","CATT XIX",8273,"Prelims","https://hsquizbowl.org/db/tournaments/8273/stats/prelims/individuals","CATT XIX <8273> - Prelims"
"77","CATT XIX",8273,"Combined","https://hsquizbowl.org/db/tournaments/8273/stats/combined/individuals","CATT XIX <8273> - Combined"
"78","2023 Battle of Edgehill",8270,"All Games","https://hsquizbowl.org/db/tournaments/8270/stats/all_games/individuals","2023 Battle of Edgehill <8270> - All Games"
